1,Certify on iOS 5 / iPhone 4S,1,100,0,,,3,0
2,iPad 2 Col Layout: (Image / People / Link),1,100,0,,https://issues.appian.com/browse/IOS-559,3,0
3,iPad 2 Col Layout (Not Image / People / Link),1,100,0,,https://issues.appian.com/browse/IOS-559,3,0
4,BB: Mobile Forms - Checkboxes - Appian Types (Users/ Groups/ People/ Docs/ Folders),1,100,0,,,4,0
5,DR Mobile Forms - Image Component,1,100,0,,,2,0
6,Release Android 1.2 (Android Forms) (Dependency on 6.6.1),1,100,0,,,2,0
7,Mobile Forms - Paging Grid - Small (Phone)--PROTOTYPE,1,100,1,,,2,0
8,Release iOS 1.2.5 [REMOVED],1,0,0,decided it was not necessary,,3,0
9,BB: Link Component: Parse Document URL Structure,1,8,0,the test plan/cases are insufficiently clear for testing in rodrigo's absence,,4,0
10,BB: Mobile Forms - Radio Buttons - Appian Types  (Users/ Groups/ People/ Docs/ Folders),1,100,0,,,4,0
11,BB: devices.txt file for BB App World Deployments,1,0,0,the test plan/cases are insufficiently clear for testing in rodrigo's absence,,4,0
12,BB: Mobile Forms - Dropdowns - Appian Types  (Users/ Groups/ People/ Docs/ Folders),1,100,0,,,4,0
13,File Upload Component,2,0,0,Missing: 1 functional issue (saved files do not display)/ several styling issues/ WebDriver tests/ 2 tickets re error msgs,,15,0
14,Datetime Component (Mobile Parity) - Date Time,2,0,1,,,8,2
18,Sauce Labs - Get Paid Account/ Figure out if Performance is Better,2,0,0,,,15,1
19,Paging Grid - Select,2,76,0,,,9,0
20,Datetime Component (Mobile Parity) - Date,2,100,0,,,8,0
21,Column Layout Component--HTML Mockup only,2,0,0,PO prioritized other UI work over this/ so I didn't spend much time on it this sprint,,1,0
22,Sauce Labs - Job Config,2,0,1,,,15,2
23,Sauce Labs - Matrix Jobs for Selenium Tests,2,0,1,,,15,2
24,Editable Paging Grid - round-trip with string fields only/ no add/remove/ no column-specific configs,2,100,1,,,7,0
25,Datetime Component (Mobile Parity) - Time,2,30,0,Implementation took longer than expected due the complexity of the component and the amount of code review comments.,,8,0
26,Editable Paging Grid - ApplyDelta() [Uncommitted],2,76,0,,,7,0
27,GetReportPage performance optimizations (Sorting/ Grouping/ Aggregation),3,75,0,There seem to be a problem with the analytics ci tests since build number 22. The commit that seem to has caused the issue is: https://github.com/appian/ae/commit/512842bdf2c424034c2589976be52f3ed15cf364 The following commits could have had an impact afterwards: https://github.com/appian/ae/commit/c46e855bfab6b52ce91cabe09b4772182cbf54d0 https://github.com/appian/ae/commit/94e8b79a4865b411f621a924a4e63a284bbe67bb https://github.com/appian/ae/commit/402609448701e5401247f72d72e363c010a59f27 later on changes to casting: https://github.com/appian/ae/commit/d8d40cedb547171a008352625145d21d95c7b9c0 Find the cause of the issue: Why the processes are not getting to Jane during incremental update.,,13,1
28,Process Upgrade API including performance improvements,3,100,0,,,10,4
29,Sync across flows,3,100,0,,,14,0
36,add sorting and facets to Record definition,4,100,0,Round trip works/ but significant code refactoring still requires code review.,https://issues.appian.com/browse/AN-45339,17,0
37,Create and Persist the new Record definition (no facets/ no security/ no ix/ no app builder),4,100,0,Round trip works/ but significant code refactoring still requires code review.,,17,0
38,Display Records based on Entities in a List View (no facets/ no security/ no sorting/ no paging),4,100,0,,,18,0
39,add initial facets to list view runtime,4,100,1,,https://issues.appian.com/browse/AN-45345,18,0
40,Smart Service to modify security of an entity \row\ --Functionality only (no NFT) ,4,7,1,,,19,0
41,JPA annotations on datatype plugins,4,38,0,Need to handle \ref\ s in XSDs ,,19,0
42,add sorting and paging to list view runtime,4,100,0,,,18,0
43,Smart Service to modify security of an entity \row\ --Infrastructure only (virtual CDT's) ,4,0,0,,,19,0
49,Work with IT to establish the Production VPC,6,100,0,,https://issues.appian.com/browse/INFRA-87,22,0
50,Make 6.6.1.0 a released cloud site version,6,100,0,,https://issues.appian.com/browse/INFRA-114,22,0
51,Stand up the production Puppet server in the VPC,6,100,0,,https://issues.appian.com/browse/INFRA-90,22,0
52,Linux CI slaves should be started in the VPC,6,100,0,,https://issues.appian.com/browse/INFRA-94,22,2
53,Upgrade to Jenkins in the cloud,6,58,1,,https://issues.appian.com/browse/INFRA-115,22,1
54,Smart Service to modify security of an entity \row\ --Functionality only (no NFT) ,7,8,1,,https://issues.appian.com/browse/AN-44570,19,1
55,JPA annotations on datatype plugins,7,100,0,,https://issues.appian.com/browse/AN-45489,19,4
56,AN-41899 - Data Stores: security role map is ignored after publishing it,7,100,0,,https://issues.appian.com/browse/AN-41899,18,13
57,Spring upgrade,7,100,0,,https://issues.appian.com/browse/AN-45454,17,12
58,Entity as Source of Record (java api including facets),7,100,0,,https://issues.appian.com/browse/AN-45474,18,7
59,New Record Object Backend - REST CRUD API,7,16,1,This was a stretch and only about half the subtasks were completed.,https://issues.appian.com/browse/AN-45457,17,2
60,List View Atom feed (including facets),7,0,1,1) This item was a stretch. 2) I underestimated the work for XSD choice groups. 3) I underallocated time for reviews. 4) I took an unplanned indie time to prototype things needed by stephanie,https://issues.appian.com/browse/AN-45477,20,1
61,Choice groups for system datatypes,7,100,0,,https://issues.appian.com/browse/AN-45487,20,5
62,New Record Object Backend - add Facets to REST API,7,100,0,,https://issues.appian.com/browse/AN-45479,17,9
63,Facets - Time (entity only) - internal java api for returning filtered listview and list of facets,7,25,1,A few reasons: 1. Implementing eror handling for entity as source of record took longer than estimated. 2. The spec for time facets was done only 2 days before the sprint end/ and it included a detail that was not accounted for in the API built during the previous sprint. 3. The design-time record definition stores a literal configration with some fields as expressions. Converting this to a single expression passed to the runtime code turned out to be more complicated than expected (the java expression framework doesn't yet support what we wanted to do).,https://issues.appian.com/browse/AN-45485,18,3
64,File Upload Component,8,16,0,Fixing issues found in testing took much longer than planned. Will get done as part of 1/18/12 sprint.,https://issues.appian.com/browse/AN-45290,15,4
65,Datetime Component (Mobile Parity) - Date Time,8,16,1,Styling and miscellaneous bugs delayed the delivery of the time component. This component is far from getting delivered on this sprint.,https://issues.appian.com/browse/AN-45275,8,1
66,Sauce Labs - Get Paid Account/ Figure out if Performance is Better,8,0,0,Did not start/ File Upload took longer than expected.,https://issues.appian.com/browse/AN-45289,15,2
67,Paging Grid - read-only/ Select with fixed height,8,100,0,I rebased from master already. Creating pull request. GWT Forms will be ON by default on master as soon as I merge this.,https://issues.appian.com/browse/AN-45244,9,0
68,Column Layout Component--HTML Mockup only,8,100,0,,https://issues.appian.com/browse/AN-45492,1,6
69,Sauce Labs - Job Config,8,0,1,Did not start because file upload took longer than expected.,https://issues.appian.com/browse/AN-45287,15,2
70,Sauce Labs - Matrix Jobs for Selenium Tests,8,0,1,Did not start because file upload took longer than expected.,https://issues.appian.com/browse/AN-45288,15,2
72,AN-44870:  WebSphere: Tempo doesn't work on verification builds or cloud sites,8,100,0,,https://issues.appian.com/browse/AN-44870,8,5
73,AN-45391: Various app designer UI breakage in FF9,8,100,0,,https://issues.appian.com/browse/AN-45391,7,2
74,Editable Paging Grid - new design-time component & runtime round-trip (non add/remove),8,83,0,PO rejected implementation. A couple of changes will be made to the spec and thus implementation of the design time part.,https://issues.appian.com/browse/AN-45493,7,5
75,Datetime Component (Mobile Parity) - Time,8,100,0,,https://issues.appian.com/browse/AN-45262,8,7
76,Race conditions,3,83,0,,,14,5
77,Paging Grid - read-only/ Select with NON-fixed height,8,100,0,,https://issues.appian.com/browse/AN-45078,9,6
78,BB: Link Component: Parse Document URL Structure,9,100,0,All tickets closed and verified. The pending NFT one has been closed as well. Acceptance passed in the latest build (tested against one device only),https://issues.appian.com/browse/BB-231,4,8
79,BB: devices.txt file for BB App World Deployments,9,100,0,We are leaving the ticket as 'Open' and we will verify once RIM fixes their portal. I'm now Watching the issue on JIRA so I should receive a notification once the issue is updated,https://issues.appian.com/browse/BB-247,4,5
81,DR: Read-only paging grid (small),9,0,0,Last minute issue found on Friday pushed this over to the next sprint. ,https://issues.appian.com/browse/DR-583,2,3
82,BB: Image Component enhancements,9,8,1,Code for SOW9 hasn't been pushed yet. On our side/ we still need to update the existing test plans to add these enhancements,https://issues.appian.com/browse/BB-242,4,1
83,BB: Link Component enhancements,9,16,1,Code for SOW9 hasn't been pushed yet. On our side/ we still need to update the existing test plans to add these enhancements,https://issues.appian.com/browse/BB-244,4,1
